Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
The Irregular at Magic High School,"Animation, Action, Drama",7,"3,865",22 min,(2014– ),"Yûichi Nakamura,Alejandro Saab,Saori Hayami,Anairis Quinones",TV-14,,3865,0,
Anohana: The Flower We Saw That Day,"Animation, Adventure, Drama",8.2,"15,183",23 min,-2011,"Miyu Irino,Ai Kayano,Haruka Tomatsu,Takahiro Sakurai",TV-PG,,15183,0,
Yakitori: Soldiers of Misfortune,"Animation, Action, Adventure",6.5,499,45 min,(2023– ),"Ron Bottitta,Frankie Kevich,Cherami Leigh,Patrick Seitz",TV-MA,,499,0,
Ranma ½,"Animation, Action, Comedy",7.9,"5,430",23 min,-1989,"Kappei Yamaguchi,Megumi Hayashibara,Noriko Hidaka,Sarah Strange",TV-14,,5430,0,
Rascal Does Not Dream of a Dreaming Girl,"Animation, Drama, Fantasy",8.2,"5,778",89 min,-2019,,,,5778,0,
Mary and the Witch's Flower,"Animation, Adventure, Family",6.8,"15,430",103 min,-2017,,PG,74,15430,0,
Hajimete No Gal,"Animation, Comedy, Drama",6.1,"2,031",24 min,-2017,"Shintarô Asanuma,Yuki Nagaku,Ayana Taketatsu,Eri Kitamura",TV-MA,,2031,0,
Queen's Blade: The Exiled Virgin,"Animation, Action, Adventure",6.1,467,24 min,-2009,"Ayako Kawasumi,Aya Hirano,Mamiko Noto,Hitomi Nabatame",TV-MA,,467,0,
Skip and Loafer,"Animation, Comedy, Drama",7.9,918,23 min,-2023,"Megumi Han,Maaya Uchida,Tomoyo Kurosawa,Yuka Terasaki",TV-14,,918,0,
Haganai: I Don't Have Many Friends,"Animation, Comedy, Drama",7,"2,589",25 min,(2011–2013),"Ryohei Kimura,Marina Inoue,Kanae Itô,Jerry Jewell",TV-MA,,2589,0,
Fighting Spirit: New Challenger,"Animation, Action, Comedy",8.8,"2,968",,-2009,"Akio Ôtsuka,Daisuke Namikawa,Tomokazu Seki,Wataru Takagi",,,2968,0,
Urotsukidoji: Legend of the Overfiend,"Animation, Action, Fantasy",6.3,"3,506",108 min,-1989,,Not Rated,,3506,0,
Sacrificial Princess & the King of Beasts,"Animation, Drama, Fantasy",6.7,134,23 min,(2023– ),"Kana Hanazawa,Satoshi Hino,Natsumi Fujiwara,Yuka Nukui",TV-14,,134,0,
Kotaro Lives Alone,"Animation, Comedy, Drama",8.4,"3,804",27 min,(2022– ),"Rie Kugimiya,Cherami Leigh,Kayleigh McKee,Jennifer Losi",TV-14,,3804,0,
Bakugan Battle Brawlers,"Animation, Action, Adventure",5.7,"3,222",22 min,(2007–2011),"Jason Deline,Julie Lemieux,Carter Hayden,Shawn Meunier",TV-Y7,,3222,0,
B: The Beginning,"Animation, Action, Crime",7.1,"5,336",25 min,(2018– ),"Hiroaki Hirata,Hiroki Tôchi,Asami Seto,Cristina Valenzuela",TV-MA,,5336,0,
Drifters,"Animation, Action, Adventure",7.6,"3,686",24 min,(2016– ),"Mitsuki Saiga,Naoya Uchida,Yûichi Nakamura,Takahiro Sakurai",TV-MA,,3686,0,
Plunderer,"Animation, Action, Fantasy",6.4,"1,411",24 min,-2020,"Yoshiki Nakajima,Rina Honizumi,Eric Vale,Sarah Wiedenheft",TV-14,,1411,0,
The Quintessential Quintuplets,"Animation, Comedy, Drama",7.7,"6,275",24 min,(2019–2021),"Yoshitsugu Matsuoka,Kana Hanazawa,Ayana Taketatsu,Miku Itou",TV-PG,,6275,0,
101 Dalmatians 2: Patch's London Adventure,"Animation, Adventure, Comedy",5.7,"10,228",74 min,(2002 Video),,G,,10228,0,
Cleopatra,"Animation, Adventure, Comedy",6.1,784,112 min,-1970,,X,,784,0,
Sailor Moon Crystal,"Animation, Action, Adventure",7.9,"2,355",24 min,(2014– ),"Kotono Mitsuishi,Ryô Hirohashi,Kenji Nojima,Michelle Ruff",TV-14,,2355,0,
Mobile Suit Gundam Wing,"Animation, Action, Adventure",8,"4,743",30 min,(1995–1996),"Hikaru Midorikawa,Toshihiko Seki,Ryûzô Ishino,Akio Ôtsuka",TV-PG,,4743,0,
Corpse Party: Tortured Souls,"Animation, Horror, Mystery",6.3,"2,204",29 min,-2013,"Hiro Shimono,Rina Satô,Asami Imai,Hiromi Igarashi",TV-MA,,2204,0,
Inu-oh,"Animation, Drama, Fantasy",7.1,"1,807",98 min,-2021,,PG-13,77,1807,0,
The Last: Naruto the Movie,"Animation, Action, Adventure",7.6,"16,883",112 min,-2014,,TV-14,,16883,0,
Neon Genesis Evangelion: Death & Rebirth,"Animation, Action, Drama",7.2,"15,145",101 min,-1997,,Not Rated,,15145,0,
Uzumaki,"Animation, Horror",,,,(2023– ),"Uki Satake,Shin'ichirô Miki,Mariya Ise,Mika Doi",,,,0,
The Girl I Like Forgot Her Glasses,"Animation, Comedy, Romance",6.7,199,,(2023– ),"Shion Wakayama,Yûsuke Kobayashi,Ryohei Kimura,Minori Suzuki",,,199,0,
Diary of a Wimpy Kid: Rodrick Rules,"Animation, Comedy, Drama",5.1,"1,279",74 min,-2022,,PG,,1279,0,
Moomin,"Animation, Adventure, Comedy",8.4,"4,469",23 min,(1990–1992),"Ikue Ôtani,Minami Takayama,Rei Sakuma,Mika Kanai",,,4469,0,
Orange,"Animation, Drama, Romance",7.6,"4,280",24 min,-2016,"Jeannie Tirado,Sarah Wiedenheft,Jason Liebrecht,Micah Solusod",TV-PG,,4280,0,
The Hunchback of Notre Dame II,"Animation, Adventure, Comedy",4.6,"7,584",68 min,(2002 Video),,G,,7584,0,
Ayakashi Triangle,"Animation, Action, Comedy",6.4,91,,(2023– ),"Kana Ichinose,Miyu Tomita",18+,,91,0,
Maken-Ki! Battling Venus,"Animation, Action, Comedy",5.8,547,25 min,(2011–2014),"Ian Sinclair,Monica Rial,Tia Lynn Ballard,Morgan Laure",TV-MA,,547,0,
TenPuru -No One Can Live on Loneliness-,"Animation, Comedy, Romance",7.4,73,,(2023– ),"Kelly Greenshield,Monét Tatianna Lerner,Monica Rial,Kent Williams",,,73,0,
Kanokon,"Animation, Action, Comedy",5.8,530,,-2008,"Mamiko Noto,Ayako Kawasumi,Chiwa Saitô,Toshiyuki Toyonaga",TV-MA,,530,0,
Noblesse,"Animation, Action, Adventure",7.1,"1,723",24 min,-2020,"Chris Hackney,Cristina Valenzuela,John Omohundro,Landon McDonald",TV-14,,1723,0,
Evangelion: 3.0 You Can (Not) Redo,"Animation, Action, Drama",6.9,"17,360",96 min,-2012,,TV-14,45,17360,0,
Aesthetica of a Rogue Hero,"Animation, Action, Fantasy",6.9,"1,930",,-2012,"Colleen Clinkenbeard,Eric Vale,Felecia Angelle,Alexis Tipton",TV-MA,,1930,0,
How a Realist Hero Rebuilt the Kingdom,"Animation, Action, Comedy",7.2,"1,861",24 min,(2021– ),"Yûsuke Kobayashi,Inori Minase,Show Hayami,Ikumi Hasegawa",TV-14,,1861,0,
Darwin's Game,"Animation, Action, Drama",7.2,"3,081",23 min,(2020– ),"Yûsuke Kobayashi,Alexis Tipton,Tia Lynn Ballard,Reina Ueda",TV-14,,3081,0,
My Hero Academia: Two Heroes,"Animation, Action, Adventure",7.3,"11,839",96 min,-2018,,PG-13,,11839,0,
Peter Grill to Kenja no Jikan,"Animation, Comedy, Fantasy",5.4,586,12 min,(2020– ),"Hiro Shimono,Sayaka Senbongi,Ayana Taketatsu,Hibiku Yamamura",TV-MA,,586,0,
Yu-Gi-Oh!: The Dark Side of Dimensions,"Animation, Adventure, Drama",6.9,"3,355",130 min,-2016,,PG,,3355,0,
The Melancholy of Haruhi Suzumiya,"Animation, Comedy, Fantasy",7.8,"8,881",24 min,(2006–2009),"Tomokazu Sugita,Aya Hirano,Minori Chihara,Crispin Freeman",TV-14,,8881,0,
In/Spectre,"Animation, Action, Comedy",6.5,"1,216",24 min,(2020–2023),"Akari Kitô,Mamoru Miyano,Lizzie Freeman,Brandon Winckler",TV-14,,1216,0,
Godzilla: The Series,"Animation, Action, Crime",6.8,"2,669",30 min,(1998–2001),"Ian Ziering,Malcolm Danare,Rino Romano,Charity James",TV-Y7,,2669,0,
Hip Whip Girl: Keijo!!!!!!,"Animation, Action, Comedy",6.8,994,25 min,(2016–2017),"Lynn,Mao Ichimichi,Kaede Hondo,Saori Ônishi",TV-MA,,994,0,
Witch Craft Works,"Animation, Action, Comedy",6.7,572,22 min,(2014–2015),"Yûsuke Kobayashi,Asami Seto,Shiori Izawa,Ai Kayano",TV-14,,572,0,
Robotech,"Animation, Action, Adventure",8.5,"3,902",30 min,-1985,"Steve Kramer,Tom Wyner,Robert Axelrod,Bill Capizzi",TV-Y7,,3902,0,
Batman Ninja,"Animation, Action, Sci-Fi",5.6,"21,515",85 min,-2018,,PG-13,,21515,0,
"Love, Chunibyo & Other Delusions","Animation, Comedy, Drama",7.4,"4,593",25 min,(2012–2014),"Jun Fukuyama,Maaya Uchida,Chinatsu Akasaki,Leraldo Anzaldua",TV-PG,,4593,0,
The Princess and the Goblin,"Animation, Adventure, Comedy",6.7,"3,011",82 min,-1991,,G,,3011,0,
Scum's Wish,"Animation, Drama, Romance",6.8,"2,254",22 min,(I) (2017),"Brittney Karbowski,Nobunaga Shimazaki,Aya Hisakawa,Molly Searcy",TV-MA,,2254,0,
Lupin III: The First,"Animation, Action, Adventure",6.9,"3,530",93 min,-2019,,Not Rated,63,3530,0,
Super Crooks,"Animation, Action, Adventure",7.1,"3,000",30 min,(2021– ),"Jonah Scott,Kenjirô Tsuda,Abby Trott,Maaya Sakamoto",TV-MA,,3000,0,
Yashahime: Princess Half-Demon,"Animation, Action, Adventure",7.1,"1,177",,(2020– ),"Sara Matsumoto,Mikako Komatsu,Agostina Longo,Azusa Tadokoro",TV-14,,1177,0,
Cardcaptor Sakura,"Animation, Action, Adventure",8,"5,392",30 min,(1998–2000),"Sakura Tange,Sam Vincent,Brian Drummond,Matt Hill",TV-Y7-FV,,5392,0,
Tekken: Bloodline,"Animation, Action, Adventure",6.6,"4,663",22 min,-2022,"Kaiji Tang,S. Hiroshi Watanabe,Toshiyuki Morikawa,Taiten Kusunoki",TV-14,,4663,0,
The Year Without a Santa Claus,"Animation, Comedy, Family",7.7,"10,805",51 min,(1974 TV Movie),,TV-G,,10805,0,
InuYasha: The Final Act,"Animation, Action, Adventure",8.5,"3,354",24 min,(2009– ),"Kappei Yamaguchi,Satsuki Yukino,Kumiko Watanabe,Kôji Tsujitani",TV-14,,3354,0,
Digimon: The Movie,"Animation, Action, Adventure",6,"7,756",82 min,-2000,,PG,20,7756,0,
Pokémon the Movie: I Choose You!,"Animation, Action, Adventure",6.3,"7,263",98 min,-2017,,PG,,7263,0,
Stillwater,"Animation, Family",8.2,547,25 min,(2020–2023),"James Sie,Eva Ariel Binder,Tucker Chandler,Judah Mackey",TV-Y7,,547,0,
Wise Man's Grandchild,"Animation, Action, Adventure",6.8,"2,796",24 min,(2019– ),"Lindsay Seidel,Daman Mills,Katelyn Barr,Brandon McInnis",TV-14,,2796,0,
Transformers: Animated,"Animation, Action, Family",6.6,"2,493",20 min,(2007–2009),"David Kaye,Jeff Bennett,Bumper Robinson,Tom Kenny",TV-Y7,,2493,0,
"Dragon Ball Z: Resurrection ""F""","Animation, Action, Adventure",7.2,"23,369",93 min,-2015,,Not Rated,,23369,0,
Isekai wa smartphone to tomo ni.,"Animation, Adventure, Comedy",6.5,"2,615",24 min,(2017–2023),"Jill Harris,Leah Clark,Katsumi Fukuhara,Marika Kôno",TV-14,,2615,0,
Kemeko Deluxe!,"Animation, Action, Comedy",6.1,89,24 min,-2008,"Chiwa Saitô,Haruka Tomatsu,Eri Kitamura,Mikako Takahashi",,,89,0,
The Tatami Galaxy,"Animation, Comedy, Drama",8.4,"4,690",253 min,-2010,"Shintarô Asanuma,Hiroyuki Yoshino,Rin Mizuhara,Maaya Sakamoto",TV-14,,4690,0,
The Seven Deadly Sins: Grudge of Edinburgh Part 2,"Animation, Action, Adventure",6.2,249,53 min,-2023,,TV-14,,249,0,
Btooom!,"Animation, Action, Drama",7.1,"4,525",25 min,-2012,"Tyler Galindo,Brittney Karbowski,Kanata Hongô,Suzuko Mimori",TV-MA,,4525,0,
Blade Runner: Black Out 2022,"Animation, Short, Action",7.3,"9,366",15 min,(2017 Video),,,,9366,0,
Fighting Spirit: Rising,"Animation, Action, Comedy",8.7,"2,694",20 min,(2013– ),"Akio Ôtsuka,Rikiya Koyama,Kôhei Kiyasu",,,2694,0,
Digimon Adventure: 2020,"Animation, Action, Adventure",6.8,691,24 min,(2020–2021),"Cherami Leigh,Zeno Robinson,Ben Diskin,Tara Sands",TV-G,,691,0,
Pokémon: Mewtwo Strikes Back - Evolution,"Animation, Action, Family",5.7,"6,059",98 min,-2019,,TV-Y7,,6059,0,
Zombieland Saga,"Animation, Comedy, Fantasy",7.1,"1,356",24 min,(2018– ),"Rika Kinugawa,Kaede Hondo,Asami Tano,Risa Taneda",TV-MA,,1356,0,
Little Witch Academia,"Animation, Adventure, Comedy",7.8,"3,787",25 min,-2017,"Megumi Han,Erica Mendez,Alexis Nichols,Fumiko Orikasa",TV-Y7,,3787,0,
Demon City Shinjuku,"Animation, Action, Fantasy",6.3,"3,452",82 min,(1988 Video),,TV-MA,,3452,0,
Guilty Crown,"Animation, Action, Crime",7,"5,460",23 min,(2011–2012),"Yûki Kaji,Ai Kayano,Kana Hanazawa,Patrick Seitz",TV-14,,5460,0,
Black Summoner,"Animation, Action, Fantasy",7.2,"1,044",,(2022– ),"Van Barr Jr.,Bev Mageto,Kristen McGuire,Nicholas Markgraf",Not Rated,,1044,0,
Rascal Does Not Dream of a Sister Venturing Out,"Animation, Drama, Fantasy",8.8,74,73 min,-2023,,,,74,0,
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside","Animation, Adventure, Comedy",6.7,"1,279",25 min,(2021– ),"Ryôta Suzuki,Kanon Takao,Nazeeh Tarsha,Naomi Ohzora",TV-14,,1279,0,
Trinity Seven,"Animation, Action, Comedy",6.7,"2,613",,(2014–2015),"Yumi Hara,Ryôka Yuzuki,Aya Uchida,Ayane Sakura",TV-14,,2613,0,
Sekirei,"Animation, Action, Comedy",7.3,"2,642",23 min,(2008–2010),"Shinnosuke Tachibana,Saori Hayami,Marina Inoue,Yukana",TV-MA,,2642,0,
Goof Troop,"Animation, Short, Adventure",6.8,"9,103",22 min,(1992–1993),"Rob Paulsen,April Winchell,Jim Cummings,Bill Farmer",TV-Y,,9103,0,
Naruto Shippûden: The Movie,"Animation, Action, Adventure",6.7,"4,548",94 min,-2007,,Not Rated,,4548,0,
Ramayana: The Legend of Prince Rama,"Animation, Action, Adventure",9.2,"12,797",135 min,-1993,,PG,,12797,0,
Nisekoi,"Animation, Comedy, Romance",7.2,"3,914",25 min,(2014–2016),"Kôki Uchiyama,Nao Tôyama,Kana Hanazawa,Yumi Uchiyama",TV-PG,,3914,0,
Happily N'Ever After,"Animation, Adventure, Comedy",4.5,"10,960",87 min,-2006,,PG,28,10960,0,
To LOVE-Ru,"Animation, Action, Comedy",6.4,"1,533",24 min,(2008–2010),"Akeno Watanabe,Haruka Tomatsu,Sayuri Yahagi,Satomi Arai",TV-14,,1533,0,
Yu-Gi-Oh! GX,"Animation, Action, Adventure",6.8,"5,050",30 min,(2004–2008),"Matthew Labyorteaux,Wayne Grayson,Tony Salerno,Kanako Irie",TV-PG,,5050,0,
Yosuga No Sora,"Animation, Drama, Romance",6.2,"1,505",25 min,-2010,"Hiro Shimono,Hiroko Taguchi,Kayo Sakata,Ryôko Ono",16+,,1505,0,
Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,"Animation, Comedy",7,"2,860",22 min,-2015,"Yûsuke Kobayashi,Jamie Marchi,Shizuka Ishigami,Miyu Matsuki",TV-MA,,2860,0,
Frozen Fever,"Animation, Short, Adventure",6.8,"17,138",8 min,-2015,,G,,17138,0,
Dragon Quest: The Adventure of Dai,"Animation, Action, Adventure",7.9,"1,146",24 min,(2020– ),"Griffin Cork,Atsumi Tanezaki,Toshiyuki Toyonaga,Ai Furihata",,,1146,0,
Natsume's Book of Friends,"Animation, Comedy, Drama",8.1,"2,336",24 min,(2008–2017),"Matthew Elkins,Hiroshi Kamiya,Kazuhiko Inoue,Christopher Wehkamp",,,2336,0,
Muppet Babies,"Animation, Adventure, Comedy",6.6,808,23 min,(2018–2022),"Matt Danner,Dee Bradley Baker,Melanie Harrison,Eric Bauza",TV-Y,,808,0,
From the New World,"Animation, Action, Adventure",7.9,"3,491",25 min,(2012–2013),"Emily Neves,Greg Ayres,David Wald,John Swasey",TV-14,,3491,0,
Ladies Versus Butlers,"Animation, Comedy, Romance",6.5,408,,-2010,"Amber Lee Connors,Rie Kugimiya,Mariya Ise,Ayako Kawasumi",Not Rated,,408,0,
Shiki,"Animation, Drama, Horror",7.6,"3,746",24 min,(2010–2011),"Tôru Ohkawa,Kôki Uchiyama,Kazuyuki Okitsu,Wataru Takagi",TV-MA,,3746,0,
Santa Claus Is Comin' to Town,"Animation, Adventure, Comedy",7.7,"16,365",48 min,(1970 TV Movie),,TV-G,,16365,0,
Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"Animation, Action, Adventure",6.7,708,101 min,-2022,,12A,,708,0,
Colorful,"Animation, Drama, Fantasy",7.4,"6,785",126 min,-2010,,TV-14,,6785,0,
A Thousand & One Nights,"Animation, Action, Adventure",6.5,785,128 min,-1969,,X,,785,0,
Full Metal Panic!,"Animation, Action, Adventure",7.6,"5,775",24 min,(2002–2006),"Tomokazu Seki,Satsuki Yukino,Jason Douglas,Yukana",TV-14,,5775,0,
Tenchi Muyo!,"Animation, Adventure, Comedy",7.6,"2,189",30 min,(1992–2005),"Flavia Fontenelle,Matt K. Miller,Sherry Lynn,K.T. Vogt",TV-PG,,2189,0,
Citrus,"Animation, Drama, Romance",6.5,"2,532",24 min,-2018,"Tomoaki Maeno,Kana Ueda,Ikumi Hayama,Shiori Izawa",TV-14,,2532,0,
Urusei yatsura,"Animation, Action, Adventure",7.5,"1,187",23 min,(1981–1986),"Fumi Hirano,Toshio Furukawa,Saeko Shimazu,Akira Kamiya",TV-PG,,1187,0,
Kiss x sis,"Animation, Comedy, Drama",6,"2,258",24 min,-2010,"Ken Takeuchi,Ayana Taketatsu,Yuiko Tatsumi,Michael Tassis",TV-MA,,2258,0,
My Hero Academia: Heroes Rising,"Animation, Action, Adventure",7.8,"9,234",104 min,-2019,,PG-13,70,9234,0,
Gudetama: An Eggcellent Adventure,"Animation, Short, Adventure",7.3,"1,436",10 min,(2022– ),"Shunsuke Takeuchi,Seiran Fukushima,Akiyoshi Nakao,Soshina",TV-G,,1436,0,
Pluto,"Animation, Action, Drama",,,,(2023– ),"Shinshû Fuji,Yôko Hikasa,Minori Suzuki,Toshihiko Seki",TV-14,,,0,
MFKZ,"Animation, Action, Comedy",6.7,"4,946",94 min,-2017,,R,48,4946,0,
Blue Period,"Animation, Drama",7.7,"3,107",24 min,(2021– ),"Johnny Yong Bosch,Amber Lee Connors,Griffin Burns,Chris Tergliafera",TV-14,,3107,0,
Vampire Knight,"Animation, Action, Drama",7.3,"5,609",24 min,-2008,"Yui Horie,Mamoru Miyano,Daisuke Kishio,Jun Fukuyama",TV-14,,5609,0,
Ping Pong the Animation,"Animation, Drama, Sport",8.6,"4,452",275 min,-2014,"Kôki Uchiyama,Aaron Dismuke,Micah Solusod,Alan Chow",TV-14,,4452,0,
Blame!,"Animation, Action, Drama",6.6,"8,723",106 min,-2017,,TV-14,,8723,0,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Animation, Adventure, Music",7.8,"15,255",68 min,-2003,,Not Rated,,15255,0,
Saekano: How to Raise a Boring Girlfriend,"Animation, Comedy, Drama",7,"1,479",24 min,(2015–2017),"Yoshitsugu Matsuoka,Saori Ônishi,Kiyono Yasuno,Ai Kayano",TV-14,,1479,0,
Shigurui: Death Frenzy,"Animation, Action, Drama",7.7,"2,571",24 min,-2007,"Daisuke Namikawa,Emi Shinohara,Seizô Katô,Mike McFarland",TV-MA,,2571,0,
Exception,"Animation, Drama, Horror",6.5,"1,059",30 min,(2022– ),"Nolan North,Robbie Daymond,Ali Hillis,Eugene Byrd",TV-MA,,1059,0,
The Duke of Death and His Maid,"Animation, Comedy, Drama",7.2,707,24 min,(2021– ),"Natsuki Hanae,Ayumi Mano,Wakana Kuramochi,Yuma Uchida",TV-14,,707,0,
Ajin,"Animation, Action, Adventure",7.6,"6,800",24 min,(2016–2017),"Mamoru Miyano,Johnny Yong Bosch,Todd Haberkorn,Kaiji Tang",TV-MA,,6800,0,
"Girlfriend, Girlfriend","Animation, Comedy, Romance",6.5,"1,119",24 min,(2021– ),"Junya Enoki,Ayane Sakura,Azumi Waki,Ayana Taketatsu",TV-14,,1119,0,
Kaguya-sama: Love Is War - The First Kiss That Never Ends,"Animation, Comedy, Romance",8.5,"1,447",96 min,-2022,,12A,,1447,0,
"Josee, the Tiger and the Fish","Animation, Drama, Romance",7.6,"6,793",99 min,-2020,,PG,,6793,0,
Miss Kobayashi's Dragon Maid,"Animation, Comedy, Fantasy",7.7,"4,884",24 min,(2017–2022),"Maria Naganawa,Mutsumi Tamura,Yuuki Kuwahara,Daisuke Ono",TV-14,,4884,0,
ID:Invaded,"Animation, Crime, Drama",7.5,"3,007",24 min,-2020,"Kenjirô Tsuda,Yoshimasa Hosoya,Sarah Emi Bridcutt,Monica Rial",TV-MA,,3007,0,
Freezing,"Animation, Action, Drama",6.8,"1,720",24 min,-2011,"Mitsuhiro Ichiki,Mamiko Noto,Kana Hanazawa,Nobuhiko Okamoto",TV-MA,,1720,0,
"So, I Can't Play H","Animation, Comedy, Fantasy",6.2,"1,040",25 min,(2012–2013),"Hiro Shimono,Aya Endô,Arisa Nishiguchi,Misato Fukuen",TV-MA,,1040,0,
Monogatari Series: Second Season,"Animation, Adventure, Comedy",8.6,"2,821",25 min,-2013,"Yôji Ueda,Saori Hayami,Kaori Mizuhashi,Ken Narita",TV-14,,2821,0,
Cautious Hero: The Hero Is Overpowered but Overly Cautious,"Animation, Action, Adventure",7.3,"3,266",23 min,-2019,"Yûichirô Umehara,Aki Toyosaki,Jamie Marchi,Anthony Bowling",TV-14,,3266,0,
One Piece: Heart of Gold,"Animation, Action, Adventure",7,"1,433",104 min,(2016 TV Movie),,TV-14,,1433,0,
Mobile Suit Gundam 00,"Animation, Action, Drama",8.1,"2,584",24 min,(2007–2009),"Sam Vincent,Mamoru Miyano,Shin'ichirô Miki,Hiroyuki Yoshino",TV-PG,,2584,0,
One Piece: Clockwork Island Adventure,"Animation, Action, Adventure",6.7,"2,669",55 min,-2001,,12,,2669,0,
Basilisk: The Kouga Ninja Scrolls,"Animation, Action, Adventure",7.8,"4,207",25 min,-2005,"Laura Bailey,Nana Mizuki,Kôsuke Toriumi,Troy Baker",TV-MA,,4207,0,
And You Thought There Is Never a Girl Online?,"Animation, Comedy, Romance",6.4,"1,441",24 min,-2016,"Toshiyuki Toyonaga,Rina Hidaka,Inori Minase,Mao Ichimichi",TV-MA,,1441,0,
Log Horizon,"Animation, Action, Adventure",7.5,"4,574",25 min,(2013– ),"Jad Saxton,Mike Yager,Jôji Nakata,Andrew Love",TV-PG,,4574,0,
Girls Bravo,"Animation, Comedy, Fantasy",6.5,986,25 min,(2004–2005),"Yuri Lowenthal,Michelle Ruff,Carrie Savage,Hunter Mackenzie Austin",TV-MA,,986,0,
D.Gray-man,"Animation, Action, Adventure",7.7,"4,440",30 min,(2006–2008),"Sanae Kobayashi,Todd Haberkorn,Shizuka Itou,Ken'ichi Suzumura",TV-14,,4440,0,
The Seven Deadly Sins: Grudge of Edinburgh Part 1,"Animation, Action, Adventure",5.5,668,52 min,-2022,,TV-14,,668,0,
Promare,"Animation, Action, Adventure",7,"4,909",111 min,-2019,,PG-13,76,4909,0,
Knights of Sidonia,"Animation, Action, Adventure",7.7,"4,545",,(2014–2015),"Pete Sepenuk,Ryôta Ôsaka,Takahiro Sakurai,Aya Suzaki",TV-MA,,4545,0,
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Animation, Action, Fantasy",8.8,"14,610",138 min,-2020,,,,14610,0,
Naruto the Movie: Ninja Clash in the Land of Snow,"Animation, Action, Adventure",6.6,"7,604",82 min,-2004,,TV-14,,7604,0,
Spriggan,"Animation, Action, Adventure",6.8,"1,398",45 min,-2022,"D.C. Douglas,Ryan Colt Levy,Kyle McCarley,Chiaki Kobayashi",TV-MA,,1398,0,
Farming Life in Another World,"Animation, Fantasy, Romance",7.1,667,,-2023,"Monica Rial,Luci Christian,Blake Shepard,Atsushi Abe",TV-14,,667,0,
Words Bubble Up Like Soda Pop,"Animation, Drama, Music",6.8,"4,938",87 min,-2020,,TV-PG,,4938,0,
Love Flops,"Animation, Comedy, Romance",6.2,373,,(2022– ),"Ryôta Ôsaka,Ayana Taketatsu,Hisako Kanemoto,Rie Takahashi",,,373,0,
Gate,"Animation, Action, Adventure",7.5,"3,888",24 min,(2015–2016),"Jun'ichi Suwabe,Nao Tôyama,Hisako Kanemoto,Risa Taneda",TV-14,,3888,0,
Raven of the Inner Palace,"Animation, Fantasy, History",7.4,321,23 min,-2022,"Alejandro Saab,Alexis Tipton,Christopher Wehkamp,Bryn Apprill",,,321,0,
The Deer King,"Animation, Action, Adventure",6.4,805,113 min,-2021,,R,58,805,0,
Megalo Box,"Animation, Action, Drama",7.8,"3,628",24 min,(2018– ),"Yoshimasa Hosoya,Michiyo Murase,Shirô Saitô,Hiroki Yasumoto",TV-MA,,3628,0,
The Fruit of Grisaia,"Animation, Drama, Romance",7,"1,096",25 min,(2014–2015),"Takahiro Sakurai,Kaori Mizuhashi,Hiroko Taguchi,Tomoe Tamiyasu",TV-MA,,1096,0,
Digimon Adventure 02: The Beginning,"Animation, Action, Adventure",,,,-2023,,,,,0,
Helck,"Animation, Action, Adventure",7.3,75,,(2023– ),"Katsuyuki Konishi,Mikako Komatsu,Yoshitsugu Matsuoka,Akira Ishida",,,75,0,
Panty & Stocking with Garterbelt,"Animation, Action, Comedy",7.3,"2,783",23 min,(2010–2011),"Jamie Marchi,Arisa Ogasawara,Mariya Ise,Kôji Ishii",TV-MA,,2783,0,
Kono Oto Tomare!,"Animation, Drama, Music",8,"1,139",23 min,(2019– ),"Amber Lee Connors,Daman Mills,Alejandro Saab,Anthony Bowling",TV-14,,1139,0,
Ore Monogatari!!,"Animation, Comedy, Romance",7.8,"2,029",24 min,-2015,"Takuya Eguchi,Megumi Han,Nobunaga Shimazaki,Tia Lynn Ballard",TV-PG,,2029,0,
Skeleton Knight in Another World,"Animation, Action, Adventure",7,"1,402",23 min,(2022– ),"Tomoaki Maeno,Fairouz Ai,Nene Hieda,Miyu Tomita",TV-MA,,1402,0,
Toilet-bound Hanako-kun,"Animation, Comedy, Fantasy",7.5,"2,110",24 min,-2020,"Justin Briner,Megumi Ogata,Tyson Rinehart,Tia Lynn Ballard",TV-14,,2110,0,
Boro the Caterpillar,"Animation, Short, Adventure",8,214,14 min,-2018,,,,214,0,
Revolutionary Girl Utena,"Animation, Comedy, Drama",8.1,"1,919",24 min,-1997,"Tomoko Kawakami,Yuriko Fuchizaki,Rachael Lillis,Sharon Becker",TV-14,,1919,0,
Beyblade,"Animation, Action, Adventure",6.8,"6,618",30 min,(2001–2005),"Marlowe Gardiner-Heslin,Alex Hood,Gage Knox,Daniel DeSanto",TV-Y7,,6618,0,
"Grimgar, Ashes and Illusions","Animation, Adventure, Drama",7.3,"3,013",24 min,-2016,"Yoshimasa Hosoya,Mikako Komatsu,Hiroyuki Yoshino,Fukushi Ochiai",TV-14,,3013,0,
