Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
Up,"Animation, Adventure, Comedy",8.3,"10,88,519",96 min,-2009,,PG,88,1088519,0,
Resident Evil: Death Island,"Animation, Action, Adventure",5.7,"5,758",87 min,-2023,,R,,5758,0,
Hercules,"Animation, Adventure, Comedy",7.3,"2,45,703",93 min,-1997,,G,74,245703,0,
One Punch Man,"Animation, Action, Comedy",8.7,"1,76,198",24 min,(2015–2019),"Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar",TV-PG,,176198,0,
The First Slam Dunk,"Animation, Comedy, Drama",8.3,"5,242",124 min,-2022,,PG-13,79,5242,0,
Boruto: Naruto Next Generations,"Animation, Action, Adventure",6.5,"26,414",23 min,(2017– ),"Yûko Sanpei,Kokoro Kikuchi,Amanda Céline Miller,Ryûichi Kijima",TV-14,,26414,0,
WALL·E,"Animation, Adventure, Family",8.4,"11,62,284",98 min,-2008,,G,95,1162284,0,
A Bug's Life,"Animation, Adventure, Comedy",7.2,"3,05,992",95 min,-1998,,G,77,305992,0,
The Little Mermaid,"Animation, Adventure, Family",7.6,"2,82,153",83 min,-1989,,G,88,282153,0,
Berserk,"Animation, Action, Adventure",8.7,"46,866",23 min,(1997–1998),"Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins",TV-MA,,46866,0,
The Bad Guys,"Animation, Adventure, Comedy",6.8,"51,787",100 min,-2022,,PG,64,51787,0,
Beauty and the Beast,"Animation, Family, Fantasy",8,"4,69,561",84 min,-1991,,G,95,469561,0,
Scott Pilgrim Takes Off,"Animation, Action, Adventure",,,,(2023– ),"Mary Elizabeth Winstead,Aubrey Plaza,Brie Larson,Chris Evans",TV-14,,,0,
Monster,"Animation, Crime, Drama",8.7,"38,631",24 min,(2004–2005),"Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman",TV-14,,38631,0,
Grave of the Fireflies,"Animation, Drama, War",8.5,"2,94,819",89 min,-1988,,Not Rated,94,294819,0,
Aladdin,"Animation, Adventure, Comedy",8,"4,47,252",90 min,-1992,,G,86,447252,0,
The Princess and the Frog,"Animation, Adventure, Comedy",7.1,"1,58,709",97 min,-2009,,G,73,158709,0,
Mulan,"Animation, Adventure, Comedy",7.6,"3,04,685",87 min,-1998,,G,71,304685,0,
Pokémon,"Animation, Action, Adventure",7.5,"45,855",24 min,(1997–2023),"Veronica Taylor,Rachael Lillis,Eric Stuart,Ikue Ôtani",TV-Y7,,45855,0,
Soul,"Animation, Adventure, Comedy",8,"3,55,953",100 min,-2020,,PG,83,355953,0,
Cowboy Bebop,"Animation, Action, Adventure",8.9,"1,30,513",24 min,(1998–1999),"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum",TV-14,,130513,0,
Toy Story 3,"Animation, Adventure, Comedy",8.3,"8,68,393",103 min,-2010,,G,92,868393,0,
